TITLE="sinsin"
VARIABLES="x", "y", "z"
ZONE T="sin(x)sin(y)", I=100, J=100, F=POINT
3.64425 0.0628319 -0.0302496
3.70708 0.0628319 -0.0336449
3.76991 0.0628319 -0.0369074
3.83274 0.0628319 -0.0400242
3.89558 0.0628319 -0.0429831
3.95841 0.0628319 -0.0457724
4.02124 0.0628319 -0.048381
4.08407 0.0628319 -0.0507986
4.1469 0.0628319 -0.0530158
4.20974 0.0628319 -0.0550238
4.27257 0.0628319 -0.0568146
4.3354 0.0628319 -0.0583812
4.39823 0.0628319 -0.0597174
4.46106 0.0628319 -0.0608179
4.52389 0.0628319 -0.0616783
4.58673 0.0628319 -0.0622954
4.64956 0.0628319 -0.0626666
4.71239 0.0628319 -0.0627905
4.77522 0.0628319 -0.0626666
4.83805 0.0628319 -0.0622954
4.90089 0.0628319 -0.0616783
4.96372 0.0628319 -0.0608178
5.02655 0.0628319 -0.0597173
5.08938 0.0628319 -0.0583811
5.15221 0.0628319 -0.0568145
5.21505 0.0628319 -0.0550237
5.27788 0.0628319 -0.0530157
5.34071 0.0628319 -0.0507985
5.40354 0.0628319 -0.0483809
5.46637 0.0628319 -0.0457722
5.5292 0.0628319 -0.042983
5.59204 0.0628319 -0.0400241
5.65487 0.0628319 -0.0369072
5.7177 0.0628319 -0.0336447
5.78053 0.0628319 -0.0302495
5.84336 0.0628319 -0.0267348
5.9062 0.0628319 -0.0231146
5.96903 0.0628319 -0.0194032
6.03186 0.0628319 -0.0156152
6.09469 0.0628319 -0.0117656
6.15752 0.0628319 -0.00786961
6.22036 0.0628319 -0.00394252
0 0.125664 0
0.0628319 0.125664 0.00786974
0.125664 0.125664 0.0157084
0.188496 0.125664 0.0234851
0.251327 0.125664 0.0311691
0.314159 0.125664 0.0387301
0.376991 0.125664 0.0461382
0.439823 0.125664 0.0533643
0.502655 0.125664 0.0603798
0.565487 0.125664 0.0671569
0.628319 0.125664 0.073669
0.69115 0.125664 0.0798904
0.753982 0.125664 0.0857965
0.816814 0.125664 0.091364
0.879646 0.125664 0.0965709
0.942478 0.125664 0.101397
1.00531 0.125664 0.105822
1.06814 0.125664 0.10983
1.13097 0.125664 0.113405
1.19381 0.125664 0.116532
1.25664 0.125664 0.119199
1.31947 0.125664 0.121396
1.3823 0.125664 0.123113
1.44513 0.125664 0.124345
1.50796 0.125664 0.125086
1.5708 0.125664 0.125333
1.63363 0.125664 0.125086
1.69646 0.125664 0.124345
1.75929 0.125664 0.123113
1.82212 0.125664 0.121396
